Timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Avg_EAR,Std_EAR,Avg_MAR,Std_MAR,Positive_Percent,Neutral_Percent,Negative_Percent,Sentiment_Pos,Sentiment_Neu,Sentiment_Neg,Sentiment_Comp,Mean_Pitch,Std_Pitch,,,,,,,,,,,,,,,,,,,,
2025-08-25 12:33:12,Never,Never,Never,Never,Never,The symptoms of burnout that I’m experiencing won’t go away. I think about frustration at work a lot,0.254362643,0.03828761476,0.07858414476,0.07985459914,5.555555556,83.33333333,11.11111111,0,1,0,0,N/A,N/A,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0
2025-08-25 15:19:52,Often,Rarely,Rarely,Rarely,Rarely,The symptoms of burnout that I’m experiencing won’t go away. I think about frustration at work a lot,0.2772787445,0.07029007249,0.073521108,0.03730673203,92.85714286,7.142857143,0,0.57,0.43,0,0.8908,N/A,N/A,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-08-25 15:21:36,Sometimes,Often,Often,Sometimes,Rarely,"I am definitely burning out and have one or more symptoms of burnout, such as physical and emotional exhaustion",0.2608956422,0.01793317824,0.03774869609,0.02787783758,12.5,0,87.5,0.238,0.621,0.14,0.344,N/A,N/A,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0
2025-08-25 15:28:36,Sometimes,Often,Often,Sometimes,Rarely,"I am definitely burning out and have one or more symptoms of burnout, such as physical and emotional exhaustion",0.2608956422,0.01793317824,0.03774869609,0.02787783758,12.5,0,87.5,0.238,0.621,0.14,0.344,N/A,N/A,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0
2025-08-25 15:29:38,Sometimes,Always,Sometimes,Always,Sometimes,"I am definitely burning out and have one or more symptoms of burnout, such as physical and emotional exhaustion",0.268225989,0.01323570733,0.01187034385,0.004968633058,25,25,50,0,0.545,0.455,-0.3612,N/A,N/A,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
2025-08-25 16:14:10,Sometimes,Sometimes,Sometimes,Often,Rarely,"Occasionally I am under stress, and I don’t always have as much energy as I once did, but I don’t feel burned out",0.3120355826,0.05824009926,0.06324965456,0.03572778704,0,33.33333333,66.66666667,0.472,0.402,0.126,0.7845,N/A,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0
2025-08-25 17:01:08,Often,Often,Rarely,Sometimes,Sometimes,"Occasionally I am under stress, and I don’t always have as much energy as I once did, but I don’t feel burned out",0.2807140741,0.01843309559,0.03244816746,0.008771918837,0,30,70,0.197,0.587,0.217,-0.3269,N/A,N/A,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,0
2025-08-25 17:14:09,Always,Sometimes,Sometimes,Rarely,Sometimes,I feel completely burned out and often wonder if I can go on. I am at the point where I may need some changes or may need to seek some sort of help,0.2896522888,0.04632046853,0.0450649235,0.02701421205,22.22222222,44.44444444,33.33333333,0,1,0,0,N/A,N/A,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0
2025-08-25 17:14:19,Always,Sometimes,Sometimes,Rarely,Sometimes,I feel completely burned out and often wonder if I can go on. I am at the point where I may need some changes or may need to seek some sort of help,0.2896522888,0.04632046853,0.0450649235,0.02701421205,22.22222222,44.44444444,33.33333333,0,1,0,0,N/A,N/A,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0
2025-08-25 17:30:09,Often,Always,Always,Never,Rarely,"I am definitely burning out and have one or more symptoms of burnout, such as physical and emotional exhaustion",0.2784588638,0.04823197036,0.04573635705,0.04433594487,50,25,25,0,0.704,0.296,-0.4937,N/A,N/A,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0
2025-08-25 17:32:13,Sometimes,Sometimes,Sometimes,Rarely,Rarely,"I am definitely burning out and have one or more symptoms of burnout, such as physical and emotional exhaustion",0.2820781391,0.04282551305,0.06557794191,0.03271714355,11.11111111,11.11111111,77.77777778,0,0.742,0.258,-0.5511,N/A,N/A,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,1,0,1,0
2025-08-26 10:33:21,Sometimes,Rarely,Sometimes,Always,Sometimes,"Occasionally I am under stress, and I don’t always have as much energy as I once did, but I don’t feel burned out",0.251807729,0.0427429449,0.03298565417,0.03067645464,0,77.77777778,22.22222222,0.2,0.518,0.282,-0.1505,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0
